,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,0.5075919999999999,115.15533
1,0.8608040809631348,0.507403,115.15571
2,1.729585886001587,0.507005,115.15593
3,2.601577043533325,0.50755,115.156
4,3.468329906463623,0.507267,115.15579
5,4.332314491271973,0.5070260000000001,115.15538
6,5.201176881790161,0.506963,115.1548
7,6.0715491771698,0.5072460000000001,115.15426
8,6.931925535202026,0.507225,115.15402
9,7.805211544036865,0.5074660000000001,115.15377
10,8.66734528541565,0.507036,115.15361
11,9.537092208862305,0.5074660000000001,115.15377
12,10.406895875930786,0.507057,115.15416
13,11.272888660430908,0.507131,115.15479
14,12.144171476364136,0.507099,115.1554
15,13.010934829711914,0.507099,115.15591
16,13.878867864608765,0.506659,115.15652
17,14.742131233215332,0.506471,115.15636
18,15.608147859573364,0.50646,115.15686
19,16.47396206855774,0.506879,115.1567
20,17.34238076210022,0.506691,115.15692
21,18.206302404403687,0.506963,115.15711
22,19.072265625,0.507236,115.15712
23,19.948428869247437,0.506649,115.15713
24,20.81400752067566,0.506376,115.15681
25,21.68442940711975,0.506638,115.15697
26,22.552449226379395,0.506816,115.15714
27,23.417262315750122,0.506659,115.15696
28,24.2836651802063,0.506879,115.15709
29,25.149566650390625,0.506942,115.15668
30,26.01593327522278,0.5070260000000001,115.1569
31,26.881772994995117,0.507078,115.15682
32,27.74746823310852,0.507162,115.15707
33,28.622720956802368,0.506785,115.15675
34,29.48888325691223,0.506691,115.15707
35,30.354665279388428,0.506512,115.1567
36,31.225898504257202,0.5063030000000001,115.15676
37,32.0930540561676,0.507047,115.15668
38,32.95956802368164,0.506858,115.15675
39,33.8253653049469,0.506544,115.15688
40,34.69123196601868,0.50646,115.15673
41,35.556209564208984,0.506544,115.15674
42,36.42303013801575,0.506753,115.15643
43,37.28900098800659,0.506512,115.15669
44,38.16213822364807,0.5063869999999999,115.15686
45,39.0299916267395,0.506554,115.1571
46,39.895970821380615,0.506575,115.15717
47,40.767067670822144,0.506911,115.15706
48,41.634268045425415,0.506146,115.1569
49,42.501015424728394,0.506491,115.15705
50,43.367289304733276,0.506051,115.15723
51,44.232664823532104,0.506209,115.15705
52,45.09859538078308,0.5060410000000001,115.15687
53,45.97083258628845,0.506114,115.15673
54,46.8393714427948,0.506209,115.15689
55,47.70564341545105,0.505706,115.15696
56,48.57192420959473,0.5062610000000001,115.15681
57,49.44128894805908,0.505538,115.15677
58,50.30860781669617,0.505695,115.15679
59,51.17554688453674,0.50559,115.15675
60,52.04177665710449,0.505894,115.15659
61,52.90812563896179,0.506209,115.15657
62,53.774052143096924,0.5063869999999999,115.15638
63,54.63997769355774,0.505485,115.15636
64,55.51187825202942,0.505611,115.15614
65,56.37091684341431,0.505768,115.156
66,57.2474365234375,0.5055590000000001,115.1558
67,58.112879037857056,0.505643,115.15578
68,58.97945427894592,0.505611,115.15578
69,59.85084629058838,0.505161,115.15541
