,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,2.4262289999999997,132.04784
1,1.3051650524139404,2.4253389999999997,132.04617
2,2.6095895767211914,2.4246049999999997,132.04554
3,3.909945487976074,2.4238720000000002,132.04051
4,5.218541145324707,2.423274,132.03015
5,6.518000602722168,2.422446,132.02481
6,7.826776742935181,2.4220800000000002,132.01789
7,9.13245177268982,2.420801,132.01915
8,10.430538415908813,2.4214610000000003,132.02041
9,11.738563776016235,2.420382,132.02062
10,13.038689374923706,2.420958,132.02072
11,14.346396207809448,2.421199,132.02114
12,15.653357028961182,2.421126,132.02156
13,16.95250701904297,2.421315,132.02166
14,18.260910749435425,2.4213250000000004,132.02219
15,19.56636071205139,2.421377,132.0224
16,20.875028133392334,2.421105,132.02313
17,22.180447578430176,2.421178,132.02344
18,23.47899031639099,2.420822,132.0269
19,24.788740634918213,2.421419,132.03255
20,26.095593452453613,2.421472,132.03339
21,27.392225742340088,2.421377,132.03098
22,28.70168685913086,2.4216390000000003,132.02899
23,30.007186889648438,2.4211889999999996,132.03444
24,31.30618715286255,2.4212830000000003,132.03674
25,32.614118576049805,2.421839,132.03339
26,33.92011332511902,2.42166,132.02899
27,35.21886372566223,2.421388,132.02899
28,36.52730441093445,2.42122,132.02847
29,37.83462738990784,2.4215560000000003,132.02795
30,39.13722896575928,2.421063,132.02753
31,40.44564366340637,2.421126,132.02659
32,41.74568557739258,2.421042,132.02575
33,43.05503964424133,2.4208849999999997,132.02522
34,44.36237454414368,2.420927,132.02418
35,45.66164422035217,2.42035,132.02282
36,46.967262983322144,2.4205289999999997,132.02177
37,48.27323603630066,2.420162,132.02145
38,49.572019815444946,2.41969,132.02208
39,50.88114595413208,2.419921,132.02439
40,52.1865074634552,2.419774,132.02533
41,53.49044179916382,2.420738,132.02439
42,54.7932288646698,2.419984,132.02344
43,56.10157036781311,2.4199,132.0224
44,57.40619206428528,2.419973,132.02208
45,58.71170711517334,2.41924,132.02083
