,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,-0.22362,108.69546
1,0.8644609451293945,-0.223306,108.69368
2,1.7269840240478516,-0.22348400000000002,108.69084
3,2.6006815433502197,-0.224302,108.69254
4,3.4602694511413574,-0.22389299999999998,108.69428
5,4.3273093700408936,-0.223998,108.69078
6,5.202795028686523,-0.224186,108.68901
7,6.070165395736694,-0.224291,108.69099
8,6.928877830505371,-0.224281,108.69461
9,7.805384635925293,-0.224061,108.69635
10,8.673180341720581,-0.223348,108.69607
11,9.536972522735596,-0.223495,108.69555
12,10.399869203567505,-0.22312800000000002,108.69525
13,11.275748491287231,-0.223568,108.69656
14,12.143518209457397,-0.223568,108.6961
15,13.001293659210205,-0.223379,108.69385
16,13.873419761657715,-0.224406,108.69487
17,14.739189386367798,-0.223662,108.6936
18,15.608552932739258,-0.223725,108.69119
19,16.477574825286865,-0.223799,108.68976
20,17.34688901901245,-0.22383,108.68932
21,18.21576189994812,-0.22417600000000001,108.69035
22,19.075287580490112,-0.22417600000000001,108.69121
23,19.944612979888916,-0.224553,108.69304
24,20.817173957824707,-0.224406,108.69384
25,21.67814350128174,-0.22404000000000002,108.69428
26,22.553833723068237,-0.223799,108.69413
27,23.414735555648804,-0.22384,108.69328
28,24.280609607696533,-0.22395600000000002,108.69244
29,25.156025886535645,-0.224375,108.6924
30,26.022839069366455,-0.22383,108.69297
31,26.891164302825928,-0.22395600000000002,108.69398
32,27.75871205329895,-0.224165,108.69468
33,28.626192808151245,-0.22375699999999998,108.69581
34,29.493937015533447,-0.223715,108.69682
35,30.361299514770508,-0.224291,108.69729
36,31.229008436203003,-0.22375699999999998,108.69727
37,32.090330600738525,-0.22383,108.69714
38,32.9600784778595,-0.223641,108.69656
39,33.82574462890625,-0.224448,108.69526
40,34.69874310493469,-0.224207,108.6941
41,35.56433033943176,-0.224553,108.69272
42,36.4346239566803,-0.224689,108.692
43,37.30210328102112,-0.224805,108.69095
44,38.168282985687256,-0.224532,108.69023
45,39.037070512771606,-0.225014,108.68953
46,39.903552532196045,-0.224511,108.68912
47,40.77223181724548,-0.224983,108.68846
48,41.64000368118286,-0.224805,108.68844
49,42.50464415550232,-0.225025,108.68773
50,43.374125957489014,-0.224962,108.68798
51,44.242583990097046,-0.224909,108.68774
52,45.10240864753723,-0.224773,108.6881
53,45.97192049026489,-0.224993,108.68825
54,46.8438560962677,-0.22492,108.68809
55,47.71000003814697,-0.225297,108.68823
56,48.57589101791382,-0.22526600000000002,108.68852
57,49.44706416130066,-0.225213,108.6885
58,50.314043045043945,-0.224689,108.68834
59,51.17320537567139,-0.225129,108.68867
60,52.0429584980011,-0.225496,108.68872
61,52.91201877593994,-0.224689,108.68916
62,53.77809810638428,-0.225004,108.68924
63,54.652605056762695,-0.224993,108.68925
64,55.52007079124451,-0.22469999999999998,108.68917
65,56.387619972229004,-0.224909,108.68946
66,57.25132751464844,-0.22511899999999999,108.68951
67,58.11746263504028,-0.224354,108.68967
68,58.98633861541748,-0.225234,108.68971
69,59.85826396942139,-0.225433,108.68946
