,Tiempo [s],Tension generador [V],Tensión termocupla fria [V],Tensión termocupla caliente [V]
0,0.0,-0.271086,-0.000639695,-0.0002329
1,1.0654070377349854,-0.271792,-0.000638627,-0.000230722
2,2.1153810024261475,-0.272583,-0.000638061,-0.000228921
3,3.169300079345703,-0.273238,-0.000637117,-0.000226848
4,4.220057964324951,-0.274011,-0.000636604,-0.000224911
5,5.268970966339111,-0.274724,-0.00063543,-0.000222943
6,6.317622423171997,-0.27546,-0.000634393,-0.000220828
7,7.366567611694336,-0.276146,-0.000634005,-0.000218776
8,8.426626205444336,-0.276908,-0.000632978,-0.000217028
9,9.47585916519165,-0.277574,-0.000631637,-0.000214693
10,10.5296630859375,-0.278322,-0.000630673,-0.000213196
11,11.580387115478516,-0.279019,-0.000629593,-0.000210861
12,12.629135847091675,-0.279679,-0.000629132,-0.000208935
13,13.6841402053833,-0.280421,-0.000628095,-0.000207186
14,14.727922201156616,-0.281091,-0.000626753,-0.000204956
15,15.786740064620972,-0.281799,-0.000626324,-0.000203176
16,16.8407244682312,-0.28249,-0.000625381,-0.000201166
17,17.891907930374146,-0.283185,-0.000624469,-0.000199041
18,18.940665245056152,-0.28388,-0.000623578,-0.00019747
19,19.98985457420349,-0.28459,-0.000622876,-0.000195418
20,21.038395404815674,-0.285214,-0.000622027,-0.000193219
21,22.093482494354248,-0.285937,-0.000621094,-0.000191461
22,23.147027015686035,-0.286541,-0.000620361,-0.000189785
23,24.195406436920166,-0.287238,-0.000619376,-0.000187985
24,25.25014567375183,-0.287899,-0.000617961,-0.00018611
25,26.301079511642456,-0.288504,-0.000617573,-0.000184048
26,27.349490642547607,-0.289201,-0.000616672,-0.000182017
27,28.402400255203247,-0.289808,-0.000615928,-0.00018074
28,29.447211742401123,-0.290474,-0.000614933,-0.000178426
29,30.497344493865967,-0.291109,-0.000614115,-0.000176667
30,31.556171894073486,-0.291773,-0.000613078,-0.000174887
31,32.604731798172,-0.292367,-0.000612323,-0.000173107
32,33.650041580200195,-0.292997,-0.000611296,-0.000170835
33,34.708542346954346,-0.293676,-0.000610081,-0.000168731
34,35.75860357284546,-0.294248,-0.000609661,-0.000167171
35,36.80832052230835,-0.294884,-0.00060854,-0.000165401
36,37.857271671295166,-0.295466,-0.000608037,-0.000163538
37,38.91297268867493,-0.296075,-0.000607262,-0.000161957
38,39.95491123199463,-0.296715,-0.000606277,-0.000160072
39,41.015950202941895,-0.297294,-0.000604925,-0.000158491
40,42.06304979324341,-0.297884,-0.000604631,-0.000156984
41,43.11875629425049,-0.298505,-0.000603646,-0.000155036
42,44.17006540298462,-0.299072,-0.000603196,-0.000153487
43,45.217623233795166,-0.299709,-0.000601707,-0.000151832
44,46.2666802406311,-0.300286,-0.00060155,-0.000149948
45,47.315720558166504,-0.300845,-0.000600408,-0.00014843
46,48.37428569793701,-0.301435,-0.000599151,-0.000146692
47,49.42895293235779,-0.301973,-0.000598606,-0.000144891
48,50.48017954826355,-0.302588,-0.000597935,-0.000143362
49,51.528430223464966,-0.303187,-0.000596908,-0.000141656
50,52.577781200408936,-0.303718,-0.000596447,-0.000139876
51,53.62735080718994,-0.304286,-0.000596122,-0.000138421
52,54.68607234954834,-0.30484,-0.000594917,-0.00013684
53,55.734487533569336,-0.305411,-0.000594204,-0.000135238
54,56.77965521812439,-0.305908,-0.000593261,-0.000133448
55,57.838340282440186,-0.306508,-0.000592465,-0.000131783
56,58.88928294181824,-0.307023,-0.000591197,-0.00013015
57,59.937214612960815,-0.307518,-0.000591029,-0.000128726
58,60.987486839294434,-0.308105,-0.00058996,-0.000127218
59,62.03630256652832,-0.308592,-0.000588944,-0.000125983
60,63.09461855888367,-0.30913,-0.000588608,-0.000124297
61,64.14399552345276,-0.309642,-0.000588116,-0.000122706
62,65.19359016418457,-0.310183,-0.000586785,-0.00012147
63,66.24872350692749,-0.310651,-0.000586575,-0.000119816
64,67.29832196235657,-0.311215,-0.00058536,-0.000118099
65,68.34684467315674,-0.31172,-0.000584437,-0.000116696
66,69.40072822570801,-0.312189,-0.000583767,-0.00011522
