,Tiempo [s],Tension [mV],Temperatura [K],Resistencia [Ohm],Temp ambiente [K],Rango temp [C]
0,0.0,2.007085,342.79558001583666,9.9e+37,293.15,70.0
1,0.9616971015930176,2.009126,342.8450516313556,9.9e+37,,
2,1.9177801609039307,2.006237,342.7750249270231,9.9e+37,,
3,2.8733909130096436,2.003567,342.71030359123563,9.9e+37,,
4,3.8227415084838867,1.998751,342.59355550011117,9.9e+37,,
5,4.77889084815979,1.9934319999999999,342.46460289484077,9.9e+37,,
6,5.734431743621826,1.9908880000000002,342.4029226762423,9.9e+37,,
7,6.6937994956970215,1.989349,342.3656077711319,9.9e+37,,
8,7.653507947921753,1.9827529999999998,342.2056688389772,9.9e+37,,
9,8.60882568359375,1.976513,342.0543456875869,9.9e+37,,
10,9.560998439788818,1.9717810000000002,341.93958157623234,9.9e+37,,
