,Tiempo [s],Tension [mV],Temperatura [K],Temp ambiente [K],Rango temp [C]
0,0.0,0.610911,288.3066669835865,293.0,70.0
1,0.536613941192627,0.622207,288.58866708206875,,
2,1.0617125034332275,0.622909,288.6061903597821,,
3,1.592041254043579,0.6191610000000001,288.51263048794607,,
4,2.116663694381714,0.6336510000000001,288.8743039198832,,
5,2.6413824558258057,0.635022,288.90851947918344,,
6,3.1614880561828613,0.614575,288.39814345884315,,
7,3.684563398361206,0.6163759999999999,288.44310556847023,,
8,4.217754364013672,0.639744,289.0263582367321,,
9,4.736042737960815,0.696752,290.4481929473791,,
10,5.262036323547363,0.6555219999999999,289.42002854873726,,
11,5.785237789154053,0.629798,288.7781414272534,,
12,6.311322927474976,0.632803,288.8531402604217,,
13,6.8444504737854,0.6502460000000001,289.288401987683,,
14,7.360564231872559,0.6526639999999999,289.3487282637444,,
15,7.890298128128052,0.6510729999999999,289.30903497478977,,
16,8.413223266601562,0.6361640000000001,288.93701931777883,,
17,8.939360857009888,0.6395660000000001,289.02191638330584,,
18,9.468304634094238,0.643503,289.1201578278137,,
19,9.98856520652771,0.663699,289.6240042955655,,
20,10.511018991470337,0.6680860000000001,289.7334254324255,,
21,11.033691167831421,0.6790999999999999,290.00809826838014,,
22,11.560092210769653,0.694438,290.3905094418806,,
23,12.083471536636353,0.69157,290.3190122289719,,
24,12.616441488265991,0.700291,290.5364083267352,,
25,13.13919997215271,0.6843980000000001,290.14020211465476,,
26,13.66216516494751,0.699495,290.51656724759374,,
27,14.185032367706299,0.6926789999999999,290.3466592829138,,
28,14.715818405151367,0.65591,289.4297079325339,,
29,15.233734369277954,0.643985,289.1321848697023,,
30,15.759691715240479,0.713933,290.8764008057069,,
31,16.282665967941284,0.7886139999999999,292.73599921496054,,
32,16.81220269203186,0.8184629999999999,293.47845881584703,,
33,17.33181357383728,0.818128,293.47012865910295,,
34,17.861740350723267,0.757288,291.95630648827984,,
35,18.3878653049469,0.7358990000000001,291.42365652969636,,
36,18.904034852981567,0.70117,290.55831790670186,,
37,19.43713355064392,0.700144,290.53274423087163,,
38,19.959622383117676,0.695747,290.42314057433396,,
39,20.486681699752808,0.7166129999999999,290.94318240221816,,
40,21.011714220046997,0.771443,292.30868135053646,,
41,21.53618860244751,0.746766,291.6943059396764,,
42,22.051934480667114,0.7507969999999999,291.79468547667375,,
43,22.585657835006714,0.738024,291.47658561411794,,
44,23.10522723197937,0.749719,291.767842033867,,
45,23.633140802383423,0.747646,291.71622030298136,,
46,24.15929913520813,0.744924,291.6484339360278,,
47,24.682390213012695,0.731931,291.3248163529749,,
48,25.208922863006592,0.744568,291.6395681410678,,
49,25.730880737304688,0.758178,291.9784651604114,,
50,26.250632524490356,0.76512,292.15128903639277,,
51,26.780198335647583,0.84246,294.075017401585,,
52,27.299885988235474,0.7924880000000001,292.8323866754001,,
53,27.829331874847412,0.777715,292.4647840111801,,
54,28.348711490631104,0.791315,292.8032025457328,,
55,28.881657361984253,0.752116,291.8275293021857,,
56,29.40503430366516,0.7372700000000001,291.4578053868464,,
57,29.927820205688477,0.742149,291.5793238829946,,
58,30.450461626052856,0.760168,292.0280095059506,,
59,30.976608514785767,0.769412,292.2581278552718,,
60,31.499655961990356,0.772909,292.345170157605,,
61,32.02233600616455,0.7651300000000001,292.1515379727705,,
62,32.555155992507935,0.746777,291.69457987161496,,
63,33.078173875808716,0.760346,292.0324410130588,,
64,33.604665756225586,0.754765,291.8934882124533,,
65,34.12737250328064,0.7460330000000001,291.6760519746984,,
66,34.650120973587036,0.72969,291.26899111909756,,
67,35.182969093322754,0.732444,291.33759527334075,,
68,35.709065437316895,0.772166,292.32667699077604,,
69,36.23180866241455,0.763748,292.1171344837445,,
70,36.751821756362915,0.768941,292.24640392299676,,
71,37.27763032913208,0.766596,292.1880314957481,,
72,37.80721974372864,0.849108,294.2402306953508,,
73,38.32688093185425,0.893312,295.33816546872583,,
74,38.85663986206055,0.863693,294.6026080956658,,
75,39.38260865211487,0.833215,293.8452254434042,,
76,39.91189503669739,0.823216,293.59664121483576,,
77,40.434877157211304,0.803083,293.09595695068657,,
78,40.96166110038757,0.799565,293.00844664240935,,
79,41.48414993286133,0.771464,292.309204049244,,
80,42.010488748550415,0.742725,291.59366920533523,,
81,42.53354001045227,0.818892,293.489126303551,,
82,43.05606007575989,0.897007,295.42989353822014,,
83,43.59022641181946,0.8743190000000001,294.86654852895884,,
84,44.11569333076477,0.817772,293.46127624877823,,
85,44.63802361488342,0.779725,292.5148062710865,,
86,45.16081500053406,0.7583880000000001,291.98369355274286,,
87,45.69035983085632,0.757236,291.9550118119104,,
88,46.217305421829224,0.761382,292.05823306171675,,
89,46.74248909950256,0.773852,292.3686408904845,,
90,47.261961698532104,0.781725,292.564577605796,,
91,47.79345226287842,0.795451,292.90610266423596,,
92,48.3189115524292,0.8466790000000001,294.1798689457416,,
93,48.844334840774536,0.808936,293.24153612883384,,
94,49.368844985961914,0.7832009999999999,292.6013075325169,,
95,49.894773721694946,0.8313510000000001,293.79888871930586,,
96,50.41508865356445,0.878591,294.97264402731065,,
97,50.93891000747681,0.8409519999999999,294.0375379425724,,
98,51.46232271194458,0.792802,292.84019884506074,,
99,51.99215626716614,0.778301,292.4793678293039,,
100,52.518641233444214,0.8372040000000001,293.94438083708735,,
101,53.040568351745605,0.847423,294.19835801735195,,
102,53.56866383552551,0.808234,293.22407652558024,,
103,54.08818578720093,0.817144,293.44566003674106,,
104,54.61581897735596,0.8433390000000001,294.09686329141323,,
