,Tiempo [s],Tension [mV],Temperatura [K],Temp ambiente [K],Rango temp [C]
0,0.0,1.607328,313.0701099671742,293.0,70.0
1,0.542125940322876,1.606742,313.05579651374575,,
2,1.0712273120880127,1.607747,313.0803442208563,,
3,1.596581220626831,1.609841,313.1314896926565,,
4,2.121556282043457,1.6128040000000001,313.20385638982424,,
5,2.6441032886505127,1.613244,313.21460232050583,,
6,3.170705795288086,1.6115789999999999,313.173938211446,,
7,3.693464517593384,1.609401,313.12074298271267,,
8,4.219778537750244,1.606951,313.0609015031738,,
9,4.747123718261719,1.606805,313.0573353407085,,
10,5.27435040473938,1.6097780000000002,313.12995096537236,,
11,5.798143625259399,1.612511,313.1967005210444,,
12,6.3212220668792725,1.613087,313.21076798861094,,
13,6.850042819976807,1.613254,313.21484654503314,,
14,7.37634015083313,1.608941,313.1095076781292,,
15,7.901559829711914,1.6045639999999999,313.0025957942094,,
16,8.426147222518921,1.604774,313.00772544800066,,
17,8.95142149925232,1.606428,313.0481267738882,,
18,9.4714195728302,1.607454,313.0731875805299,,
19,9.996394395828247,1.6082290000000001,313.09211716321636,,
20,10.526408433914185,1.6081139999999998,313.089308277179,,
21,11.045828342437744,1.608511,313.09900501110934,,
22,11.578420162200928,1.608637,313.1020825467735,,
23,12.102409601211548,1.608731,313.10437848069057,,
24,12.625489473342896,1.608826,313.106698834759,,
25,13.151951551437378,1.608616,313.1015696247373,,
26,13.674584865570068,1.6087,313.1036213115033,,
27,14.203810453414917,1.6079670000000001,313.0857177780338,,
28,14.720438480377197,1.607611,313.07702237289163,,
29,15.253295421600342,1.607171,313.06627515164826,,
30,15.76973557472229,1.606533,313.0506915015378,,
31,16.30228281021118,1.605821,313.0333000927584,,
32,16.823127508163452,1.6054540000000002,313.02433559758003,,
33,17.352725505828857,1.605224,313.0187174857588,,
34,17.870917558670044,1.604784,313.00796971665466,,
35,18.40269637107849,1.604125,312.9918723007275,,
36,18.927064895629883,1.603046,312.9655150405973,,
37,19.442795991897583,1.601622,312.9307293659532,,
38,19.971190929412842,1.599403,312.8765212052583,,
39,20.50123906135559,1.596387,312.8028389254148,,
40,21.026084899902344,1.592378,312.70488981638005,,
41,21.55117154121399,1.589666,312.638624624382,,
42,22.075818300247192,1.589415,312.63249147804186,,
43,22.600810527801514,1.590608,312.6616419540878,,
44,23.119234085083008,1.591655,312.6872243628601,,
45,23.650044441223145,1.592723,312.7133192929466,,
46,24.17425513267517,1.5934869999999999,312.7319860854397,,
47,24.69483971595764,1.5935920000000001,312.7345515238252,,
48,25.22411799430847,1.593843,312.74068411976936,,
49,25.748306274414062,1.5933410000000001,312.7284188948352,,
50,26.272133111953735,1.593351,312.72866322331566,,
51,26.79911470413208,1.593351,312.72866322331566,,
52,27.320049285888672,1.5934869999999999,312.7319860854397,,
53,27.849812746047974,1.593749,312.7383874542422,,
54,28.375426769256592,1.594482,312.7562964360134,,
55,28.894160270690918,1.5947120000000001,312.76191584016277,,
56,29.42638874053955,1.594984,312.7685613605812,,
57,29.9514901638031,1.5954350000000002,312.77958013434113,,
58,30.47605299949646,1.595696,312.78595680393727,,
59,31.001007080078125,1.595812,312.7887908678543,,
60,31.523200273513794,1.595497,312.7810949019992,,
61,32.0506329536438,1.5957700000000001,312.78776474207797,,
62,32.575024127960205,1.595906,312.79108743171827,,
63,33.09062695503235,1.594953,312.7678039686684,,
64,33.62512707710266,1.594273,312.7511900838413,,
65,34.1407516002655,1.59377,312.73890053949594,,
66,34.67214512825012,1.593288,312.7271239530138,,
67,35.19893932342529,1.591938,312.6941390889646,,
68,35.724095582962036,1.587928,312.5961561829359,,
69,36.24890089035034,1.584096,312.5025147426055,,
70,36.77101016044617,1.584201,312.50508069926224,,
71,37.29847455024719,1.585415,312.5347476241678,,
72,37.81676149368286,1.585677,312.5411501041934,,
73,38.3432183265686,1.586441,312.5598197251792,,
74,38.872840881347656,1.586514,312.56160358650146,,
75,39.39696931838989,1.586462,312.5603328910524,,
76,39.91473460197449,1.587185,312.57800031747735,,
77,40.44698476791382,1.589048,312.62352382997705,,
78,40.967631101608276,1.5892680000000001,312.62889954031175,,
79,41.49354648590088,1.588169,312.60204516981224,,
80,42.016566038131714,1.588975,312.6217400659274,,
81,42.53925442695618,1.589572,312.6363277527373,,
82,43.062198877334595,1.588525,312.61074419829157,,
83,43.59519696235657,1.587823,312.59359043221474,,
84,44.11150646209717,1.587027,312.5741394095946,,
85,44.64409327507019,1.5863889999999998,312.55854902773274,,
86,45.16720747947693,1.582819,312.4713073573126,,
87,45.69453954696655,1.580505,312.41475552817883,,
88,46.210429430007935,1.575846,312.3008856903816,,
89,46.73912715911865,1.573186,312.2358679333205,,
90,47.268819093704224,1.569323,312.14143886193864,,
91,47.787898778915405,1.577699,312.34617592539325,,
92,48.31061911582947,1.5844310000000001,312.510701345936,,
93,48.8407347202301,1.58798,312.59742683828966,,
94,49.363895416259766,1.5891629999999999,312.6263338635522,,
95,49.89294409751892,1.5899379999999999,312.6452708651159,,
96,50.415290117263794,1.589739,312.6404083619246,,
97,50.9389762878418,1.590524,312.65958947227875,,
98,51.46198391914368,1.590399,312.6565351770116,,
99,51.994845390319824,1.5909330000000002,312.6695830690392,,
100,52.51756477355957,1.5912680000000001,312.6777684679358,,
101,53.04072594642639,1.59154,312.68441447981456,,
102,53.57287621498108,1.590964,312.67034052633676,,
103,54.09611225128174,1.5911840000000002,312.67571601524037,,
104,54.61878514289856,1.590252,312.65294331527673,,
105,55.149009466171265,1.5900109999999998,312.6470545922265,,
