,Tiempo [s],Resistencia [Ohm]
0,0.0,108.57207
1,0.44661378860473633,108.57994
2,0.8860764503479004,108.58627
3,1.3221979141235352,108.58709
4,1.7627897262573242,108.58393
5,2.201291799545288,108.58107
6,2.634066104888916,108.58067
7,3.075268030166626,108.58076
8,3.5038957595825195,108.57924
9,3.9495224952697754,108.57789
10,4.382472515106201,108.57781
11,4.819364070892334,108.57751
12,5.258595705032349,108.57872
13,5.696265459060669,108.58035
14,6.125237941741943,108.58257
15,6.570832967758179,108.58435
16,7.004130125045776,108.58569
17,7.440586090087891,108.59455
18,7.8798418045043945,108.60444
19,8.31628942489624,108.61267
20,8.749084234237671,108.619
21,9.185005187988281,108.6201
22,9.626296043395996,108.61721
