,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,1.732768,127.38713
1,0.9721996784210205,1.7337150000000001,127.38807
2,1.9254629611968994,1.732456,127.38618
3,2.8816494941711426,1.730072,127.37655
4,3.8306148052215576,1.7298529999999999,127.36901
5,4.792318820953369,1.728407,127.36179
6,5.747615337371826,1.724618,127.33362
7,6.702238321304321,1.726835,127.2954
8,7.656551837921143,1.721266,127.25677
9,8.611432075500488,1.7192889999999998,127.24033
10,9.567111253738403,1.719049,127.22588
11,10.523189544677734,1.7184139999999999,127.18776
12,11.47387146949768,1.719434,127.16829
13,12.433281421661377,1.720142,127.13939
14,13.388869285583496,1.7198719999999998,127.10997
15,14.338128805160522,1.713158,127.08683
16,15.297325611114502,1.712388,127.05908
17,16.253118991851807,1.7071,127.00997
18,17.202212810516357,1.700564,127.08086
19,18.16633915901184,1.70811,127.14107
20,19.121304035186768,1.71703,127.15918
