,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,1.496776,125.29662
1,0.9544157981872559,1.498087,125.26699
2,1.913851261138916,1.494996,125.27966
3,2.870853900909424,1.496547,125.28542
4,3.8187661170959473,1.497483,125.28134
5,4.782896995544434,1.496266,125.27264
6,5.73375940322876,1.4924870000000001,125.26584
7,6.692901849746704,1.491061,125.25736
8,7.648373365402222,1.4893020000000001,125.22563
9,8.59764838218689,1.49206,125.23244
10,9.558775186538696,1.4900309999999999,125.23045
11,10.512128829956055,1.4928929999999998,125.21746
12,11.468750715255737,1.4919250000000002,125.18658
13,12.421134948730469,1.492602,125.17453
14,13.378520488739014,1.489209,125.18103
15,14.333548307418823,1.483567,125.17485
16,15.282286167144775,1.485045,125.1626
17,16.240995168685913,1.479143,125.15579
18,17.198400020599365,1.479258,125.14783
19,18.14956307411194,1.4745949999999999,125.07433
20,19.104838371276855,1.4793409999999998,125.10333
