,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,1.570614,126.32603
1,0.9626595973968506,1.5705090000000002,126.34362
2,1.918381929397583,1.573559,126.33618
3,2.873389482498169,1.578659,126.3031
4,3.820012331008911,1.58377,126.26467
5,4.78530740737915,1.578441,126.24781
6,5.734882116317749,1.575474,126.21881
7,6.694316625595093,1.597207,126.19305
8,7.65001106262207,1.603078,126.19776
9,8.609001398086548,1.594158,126.18834
10,9.563305616378784,1.572935,126.20027
11,10.5138840675354,1.5728929999999999,126.18677
12,11.473558902740479,1.581053,126.16111
13,12.429161071777344,1.577181,126.22394
14,13.378292322158813,1.5776810000000001,126.23483
15,14.337571144104004,1.575963,126.20488
16,15.29341983795166,1.571332,126.1587
17,16.242329359054565,1.5677510000000001,126.1764
18,17.201780557632446,1.563858,126.20781
19,18.15743112564087,1.558883,126.20656
20,19.11684560775757,1.556864,126.18645
