,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,0.926483,119.37795
1,0.9616754055023193,0.9279810000000001,119.35495
2,1.921079397201538,0.929886,119.34137
3,2.876802444458008,0.931271,119.33422
4,3.8259427547454834,0.932124,119.33184
5,4.787789821624756,0.932603,119.33686
6,5.742539882659912,0.9323429999999999,119.34643
7,6.6902241706848145,0.931937,119.34947
8,7.649441719055176,0.931364,119.3397
9,8.605096101760864,0.930417,119.32213
10,9.554372310638428,0.9310940000000001,119.30162
11,10.516295194625854,0.931531,119.28081
12,11.46933364868164,0.93152,119.25893
13,12.418537855148315,0.930001,119.23552
14,13.377758979797363,0.92872,119.21151
15,14.333539247512817,0.9280539999999999,119.1883
16,15.284321546554565,0.92794,119.16763
17,16.241725206375122,0.928096,119.15184
18,17.19710087776184,0.927419,119.14035
19,18.147017240524292,0.925993,119.13195
20,19.106043815612793,0.9246610000000001,119.12489
