,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,-1.044319,100.91532
1,0.9680440425872803,-1.0444129999999998,100.92295
2,1.917875051498413,-1.044007,100.92994
3,2.876492738723755,-1.043799,100.93613
4,3.832317352294922,-1.043393,100.94191
5,4.788048982620239,-1.043508,100.94719
6,5.74051570892334,-1.043289,100.95261
7,6.699475526809692,-1.042769,100.95715
8,7.648927688598633,-1.0426019999999998,100.96147
9,8.608152389526367,-1.0423,100.96597
10,9.566864490509033,-1.042227,100.97032
11,10.522535800933838,-1.042009,100.97451
12,11.47219729423523,-1.041728,100.97826
13,12.425774812698364,-1.041551,100.98229
14,13.385061740875244,-1.041384,100.98578
15,14.341670751571655,-1.040801,100.9895
16,15.29666519165039,-1.041166,100.99301
17,16.25156331062317,-1.040708,100.99639
18,17.20438861846924,-1.040635,100.99989
19,18.162668228149414,-1.0403019999999998,101.00311
20,19.116257429122925,-1.040125,101.00622
