,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,-0.364059,107.45025
1,0.9593396186828613,-0.364142,107.44787
2,1.9132342338562012,-0.364402,107.44586
3,2.86868953704834,-0.36435,107.44368
4,3.8268349170684814,-0.36449600000000004,107.44136
5,4.77601170539856,-0.364746,107.43935
6,5.735263824462891,-0.364683,107.43694
7,6.692491769790649,-0.364902,107.43477
8,7.646759986877441,-0.364881,107.4324
9,8.599404573440552,-0.364891,107.43022
10,9.552366256713867,-0.365068,107.42795
11,10.508728504180908,-0.365422,107.4257
12,11.466938257217407,-0.365204,107.42388
13,12.412906408309937,-0.365391,107.42174
14,13.369422674179077,-0.365651,107.41944
15,14.328710556030273,-0.36538,107.41774
16,15.28428840637207,-0.365557,107.41549
17,16.232770442962646,-0.365755,107.41329
18,17.19498109817505,-0.36589,107.41118
19,18.15205216407776,-0.36613,107.40925
20,19.101280689239502,-0.36641100000000004,107.40711
