,Tiempo [s],Tension [mV],Resistencia [Ohm]
0,0.0,-0.6545080000000001,104.67174
1,0.9681582450866699,-0.653769,104.67274
2,1.9267306327819824,-0.6533220000000001,104.67396
3,2.8730239868164062,-0.6531129999999999,104.67506
4,3.837646722793579,-0.653124,104.67604
5,4.785316467285156,-0.652999,104.67712
6,5.740827798843384,-0.6528010000000001,104.67787
7,6.69965934753418,-0.6521870000000001,104.67851
8,7.649035215377808,-0.6527390000000001,104.67931
9,8.608452558517456,-0.652728,104.67931
10,9.564722776412964,-0.652385,104.68021
11,10.513318538665771,-0.652416,104.68076
12,11.476104021072388,-0.6522910000000001,104.68123
13,12.425127983093262,-0.652073,104.68214
14,13.383962154388428,-0.651896,104.68245
15,14.340510129928589,-0.651864,104.68336
16,15.295443773269653,-0.651875,104.68374
17,16.251480102539062,-0.651844,104.68418
18,17.201075077056885,-0.651812,104.68495
19,18.16028928756714,-0.651916,104.68566
20,19.115569353103638,-0.651698,104.68624
